idx,AirQualityStation,no2,img_path,s5p_path
0,STA-SK0045A,34.59277390344115,STA-SK0045A/S2A_MSIL2A_20200422T095031_N0214_R079_T33UXP_20200422T142128.npy,STA-SK0045A/l3_mean_europe_2018_2020_005dg.netcdf
1,STA.DE_DENW338,32.52235051878387,STA.DE_DENW338/S2B_MSIL2A_20200731T103629_N0214_R008_T31UGT_20200731T140558.npy,STA.DE_DENW338/l3_mean_europe_2018_2020_005dg.netcdf
2,STA.IT1863A,7.093725271680159,STA.IT1863A/S2A_MSIL2A_20200123T095311_N0213_R079_T33TVG_20200123T113534.npy,STA.IT1863A/l3_mean_europe_2018_2020_005dg.netcdf
3,STA-BETR701,24.728542422937302,STA-BETR701/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR701/l3_mean_europe_2018_2020_005dg.netcdf
4,STA-FR16029,19.192590979511735,STA-FR16029/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMU_20200807T132026.npy,STA-FR16029/l3_mean_europe_2018_2020_005dg.netcdf
5,STA.IT2252A,12.098807192451488,STA.IT2252A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT2252A/l3_mean_europe_2018_2020_005dg.netcdf
6,Station_GB1096A,21.383078482628246,Station_GB1096A/S2B_MSIL2A_20200812T112119_N0214_R037_T30UWE_20200812T132459.npy,Station_GB1096A/l3_mean_europe_2018_2020_005dg.netcdf
7,STA_ES1148A,38.540461264162886,STA_ES1148A/S2B_MSIL2A_20200820T103629_N0214_R008_T31TDF_20200820T133254.npy,STA_ES1148A/l3_mean_europe_2018_2020_005dg.netcdf
8,STA.DE_DEBY009,21.07997076736806,STA.DE_DEBY009/S2A_MSIL2A_20200411T102021_N0214_R065_T32UPA_20200411T143032.npy,STA.DE_DEBY009/l3_mean_europe_2018_2020_005dg.netcdf
9,STA.IT0963A,28.26812542858924,STA.IT0963A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT0963A/l3_mean_europe_2018_2020_005dg.netcdf
10,STA-FR04038,7.8247000156393,STA-FR04038/S2B_MSIL2A_20200326T104639_N0214_R051_T31UDP_20200326T141923.npy,STA-FR04038/l3_mean_europe_2018_2020_005dg.netcdf
11,STA_ES0009R,1.758356983540194,STA_ES0009R/S2A_MSIL2A_20200824T110631_N0214_R137_T30TVL_20200824T154400.npy,STA_ES0009R/l3_mean_europe_2018_2020_005dg.netcdf
12,STA-BENBT03,37.08187499708333,STA-BENBT03/S2B_MSIL2A_20200326T104639_N0214_R051_T31UES_20200326T141923.npy,STA-BENBT03/l3_mean_europe_2018_2020_005dg.netcdf
13,STA-LV00VN1,7.7771363569949425,STA-LV00VN1/S2B_MSIL2A_20200927T100029_N0214_R122_T34VEJ_20200927T120447.npy,STA-LV00VN1/l3_mean_europe_2018_2020_005dg.netcdf
14,STA_ES0633A,21.328158166050095,STA_ES0633A/S2A_MSIL2A_20200801T105631_N0214_R094_T30STF_20200801T115206.npy,STA_ES0633A/l3_mean_europe_2018_2020_005dg.netcdf
15,STA.DE_DEBE051,14.93299221117074,STA.DE_DEBE051/S2B_MSIL2A_20200801T100559_N0214_R022_T32UQD_20200801T135302.npy,STA.DE_DEBE051/l3_mean_europe_2018_2020_005dg.netcdf
16,STA.DE_DESH060,34.9442399964,STA.DE_DESH060/S2A_MSIL2A_20200815T104031_N0214_R008_T32UNF_20200815T115046.npy,STA.DE_DESH060/l3_mean_europe_2018_2020_005dg.netcdf
17,STA_PL0501A,32.1342278775136,STA_PL0501A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UDA_20200822T115325.npy,STA_PL0501A/l3_mean_europe_2018_2020_005dg.netcdf
18,STA.05.4057,19.49231014924441,STA.05.4057/S2A_MSIL2A_20201114T101301_N0214_R022_T33TUN_20201114T120346.npy,STA.05.4057/l3_mean_europe_2018_2020_005dg.netcdf
19,STA-LT00001,18.907525782086164,STA-LT00001/S2A_MSIL2A_20200807T094041_N0214_R036_T35ULA_20200807T110442.npy,STA-LT00001/l3_mean_europe_2018_2020_005dg.netcdf
20,STA-RO0183A,15.087977146391303,STA-RO0183A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TFT_20200710T120649.npy,STA-RO0183A/l3_mean_europe_2018_2020_005dg.netcdf
21,STA-SE164766,11.276606481117721,STA-SE164766/S2B_MSIL2A_20200621T103629_N0214_R008_T34WDV_20200621T140338.npy,STA-SE164766/l3_mean_europe_2018_2020_005dg.netcdf
22,STA.IT1016A,47.11677281582313,STA.IT1016A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT1016A/l3_mean_europe_2018_2020_005dg.netcdf
23,STA_ES1312A,18.925383583221517,STA_ES1312A/S2A_MSIL2A_20200118T104351_N0213_R008_T31TCF_20200118T120816.npy,STA_ES1312A/l3_mean_europe_2018_2020_005dg.netcdf
24,STA-NL00019,26.73353815184733,STA-NL00019/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFU_20200326T141923.npy,STA-NL00019/l3_mean_europe_2018_2020_005dg.netcdf
25,STA.IT1601A,9.121897715841278,STA.IT1601A/S2B_MSIL2A_20200815T095039_N0214_R079_T33TWG_20200815T120650.npy,STA.IT1601A/l3_mean_europe_2018_2020_005dg.netcdf
26,STA_PL0150A,3.533934625740818,STA_PL0150A/S2B_MSIL2A_20200921T094039_N0214_R036_T34UFE_20200921T120812.npy,STA_PL0150A/l3_mean_europe_2018_2020_005dg.netcdf
27,STA.DE_DENI031,10.59119418648167,STA.DE_DENI031/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DENI031/l3_mean_europe_2018_2020_005dg.netcdf
28,STA.DE_DEHB005,18.864687885149365,STA.DE_DEHB005/S2B_MSIL2A_20201225T103339_N0214_R108_T32UME_20201225T121034.npy,STA.DE_DEHB005/l3_mean_europe_2018_2020_005dg.netcdf
29,STA-BETR805,37.726845002071364,STA-BETR805/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETR805/l3_mean_europe_2018_2020_005dg.netcdf
30,STA-LT00042,10.837559991101614,STA-LT00042/S2A_MSIL2A_20200817T094041_N0214_R036_T35ULB_20200817T110529.npy,STA-LT00042/l3_mean_europe_2018_2020_005dg.netcdf
31,STA-BENAL08,27.45937499645834,STA-BENAL08/S2B_MSIL2A_20200326T104639_N0214_R051_T31UES_20200326T141923.npy,STA-BENAL08/l3_mean_europe_2018_2020_005dg.netcdf
32,STA-FR29441,30.843729603178506,STA-FR29441/S2A_MSIL2A_20200805T104031_N0214_R008_T31TFL_20200805T112609.npy,STA-FR29441/l3_mean_europe_2018_2020_005dg.netcdf
33,STA-DK0054A,7.375354866342927,STA-DK0054A/S2A_MSIL2A_20200623T103031_N0214_R108_T32UPF_20200623T142851.npy,STA-DK0054A/l3_mean_europe_2018_2020_005dg.netcdf
34,STA-FR31010,6.672832783637905,STA-FR31010/S2B_MSIL2A_20200806T105619_N0214_R094_T30TXQ_20200806T131026.npy,STA-FR31010/l3_mean_europe_2018_2020_005dg.netcdf
35,STA-FR04319,24.70897580893169,STA-FR04319/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04319/l3_mean_europe_2018_2020_005dg.netcdf
36,STA.IT2019A,21.205713732165464,STA.IT2019A/S2A_MSIL2A_20200830T095031_N0214_R079_T33TWF_20200830T115423.npy,STA.IT2019A/l3_mean_europe_2018_2020_005dg.netcdf
37,STA-SE20484,11.476686297690089,STA-SE20484/S2B_MSIL2A_20200327T101629_N0214_R065_T33UUB_20200327T134849.npy,STA-SE20484/l3_mean_europe_2018_2020_005dg.netcdf
38,STA-SI0054A,17.559148513761546,STA-SI0054A/S2A_MSIL2A_20200912T100031_N0214_R122_T33TWM_20200912T114911.npy,STA-SI0054A/l3_mean_europe_2018_2020_005dg.netcdf
39,Station_GB1089A,13.056914316961427,Station_GB1089A/S2B_MSIL2A_20200921T112119_N0214_R037_T30UXE_20200921T132441.npy,Station_GB1089A/l3_mean_europe_2018_2020_005dg.netcdf
40,STA.DE_DEHE024,5.625341379617766,STA.DE_DEHE024/S2B_MSIL2A_20200409T102559_N0214_R108_T32UNB_20200409T140105.npy,STA.DE_DEHE024/l3_mean_europe_2018_2020_005dg.netcdf
41,STA_ES1945A,15.391187410586552,STA_ES1945A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1945A/l3_mean_europe_2018_2020_005dg.netcdf
42,STA-RO0192A,12.884539918061554,STA-RO0192A/S2A_MSIL2A_20200828T090601_N0214_R050_T35TLJ_20200828T114933.npy,STA-RO0192A/l3_mean_europe_2018_2020_005dg.netcdf
43,STA.DE_DEBE090,45.50999999596154,STA.DE_DEBE090/S2B_MSIL2A_20200324T100649_N0214_R022_T33UUU_20200324T144536.npy,STA.DE_DEBE090/l3_mean_europe_2018_2020_005dg.netcdf
44,STA_ES1688A,10.782037815126053,STA_ES1688A/S2B_MSIL2A_20200106T105339_N0213_R051_T31TBE_20200106T121433.npy,STA_ES1688A/l3_mean_europe_2018_2020_005dg.netcdf
45,STA_ES1353A,15.08980582524272,STA_ES1353A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES1353A/l3_mean_europe_2018_2020_005dg.netcdf
46,STA.IT1593A,16.676251137397635,STA.IT1593A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TPN_20200821T130423.npy,STA.IT1593A/l3_mean_europe_2018_2020_005dg.netcdf
47,STA.02.SP18,18.49416019798626,STA.02.SP18/S2A_MSIL2A_20200707T101031_N0214_R022_T33TUM_20200707T135316.npy,STA.02.SP18/l3_mean_europe_2018_2020_005dg.netcdf
48,STA.07.2822,29.62585818863634,STA.07.2822/S2A_MSIL2A_20200319T101021_N0214_R022_T32TPT_20200319T130518.npy,STA.07.2822/l3_mean_europe_2018_2020_005dg.netcdf
49,STA.DE_DENW182,21.391852282082187,STA.DE_DENW182/S2A_MSIL2A_20200805T104031_N0214_R008_T32ULB_20200805T121101.npy,STA.DE_DENW182/l3_mean_europe_2018_2020_005dg.netcdf
50,STA.DE_DENI042,13.152924264039946,STA.DE_DENI042/S2A_MSIL2A_20200723T103031_N0214_R108_T32UNC_20200723T142801.npy,STA.DE_DENI042/l3_mean_europe_2018_2020_005dg.netcdf
51,STA.IT2117A,24.124062149229044,STA.IT2117A/S2B_MSIL2A_20201122T102339_N0214_R065_T32TLR_20201122T122607.npy,STA.IT2117A/l3_mean_europe_2018_2020_005dg.netcdf
52,STA-RO0150A,19.639545389938565,STA-RO0150A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0150A/l3_mean_europe_2018_2020_005dg.netcdf
53,STA.IT1026A,34.458381748121894,STA.IT1026A/S2A_MSIL2A_20200620T102031_N0214_R065_T32TMQ_20200620T131229.npy,STA.IT1026A/l3_mean_europe_2018_2020_005dg.netcdf
54,STA-FR14201,6.485981304392519,STA-FR14201/S2B_MSIL2A_20200721T103629_N0214_R008_T31UEQ_20200721T142714.npy,STA-FR14201/l3_mean_europe_2018_2020_005dg.netcdf
55,STA_PL0241A,20.036614739586515,STA_PL0241A/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA_PL0241A/l3_mean_europe_2018_2020_005dg.netcdf
56,STA_NO0074A,24.714063066158012,STA_NO0074A/S2B_MSIL2A_20200614T104629_N0214_R051_T32VNN_20200614T143356.npy,STA_NO0074A/l3_mean_europe_2018_2020_005dg.netcdf
57,STA_PL0193A,14.917640453191275,STA_PL0193A/S2A_MSIL2A_20200912T100031_N0214_R122_T33UXS_20200912T114911.npy,STA_PL0193A/l3_mean_europe_2018_2020_005dg.netcdf
58,STA_ES1421A,9.907755997194304,STA_ES1421A/S2B_MSIL2A_20200707T105619_N0214_R094_T30TXK_20200707T135135.npy,STA_ES1421A/l3_mean_europe_2018_2020_005dg.netcdf
59,STA.DE_DEHE011,23.84390168517117,STA.DE_DEHE011/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE011/l3_mean_europe_2018_2020_005dg.netcdf
60,STA.CZ_ZZLN,12.923177193648305,STA.CZ_ZZLN/S2A_MSIL2A_20200922T100031_N0214_R122_T33UXQ_20200924T114821.npy,STA.CZ_ZZLN/l3_mean_europe_2018_2020_005dg.netcdf
61,STA_ES1649A,7.8885827656100975,STA_ES1649A/S2B_MSIL2A_20200717T105619_N0214_R094_T30TXM_20200717T135336.npy,STA_ES1649A/l3_mean_europe_2018_2020_005dg.netcdf
62,STA_ES2075A,13.699300497167304,STA_ES2075A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES2075A/l3_mean_europe_2018_2020_005dg.netcdf
63,STA-FR41003,6.773558513023428,STA-FR41003/S2A_MSIL2A_20200809T102031_N0214_R065_T32TMM_20200809T130506.npy,STA-FR41003/l3_mean_europe_2018_2020_005dg.netcdf
64,STA-PT03085,17.349947761899784,STA-PT03085/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03085/l3_mean_europe_2018_2020_005dg.netcdf
65,STA-LT00052,4.6939623617178174,STA-LT00052/S2A_MSIL2A_20200807T094041_N0214_R036_T35ULA_20200807T110442.npy,STA-LT00052/l3_mean_europe_2018_2020_005dg.netcdf
66,STA.IT0871A,15.846948525020899,STA.IT0871A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT0871A/l3_mean_europe_2018_2020_005dg.netcdf
67,STA.DE_DENW368,39.7119999944,STA.DE_DENW368/S2A_MSIL2A_20200805T104031_N0214_R008_T32ULB_20200805T121101.npy,STA.DE_DENW368/l3_mean_europe_2018_2020_005dg.netcdf
68,STA.IT0934A,27.91233027835632,STA.IT0934A/S2A_MSIL2A_20201019T095041_N0214_R079_T33TVF_20201019T115444.npy,STA.IT0934A/l3_mean_europe_2018_2020_005dg.netcdf
69,STA.IT1857A,23.183928188428826,STA.IT1857A/S2B_MSIL2A_20201216T100329_N0214_R122_T33TUH_20201216T122746.npy,STA.IT1857A/l3_mean_europe_2018_2020_005dg.netcdf
70,STA-TR342041,56.02290971577374,STA-TR342041/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR342041/l3_mean_europe_2018_2020_005dg.netcdf
71,STA.IT2287A,23.711216068935837,STA.IT2287A/S2A_MSIL2A_20200810T095041_N0214_R079_T33SUC_20200810T114918.npy,STA.IT2287A/l3_mean_europe_2018_2020_005dg.netcdf
72,STA-BENAT40,39.03395832937499,STA-BENAT40/S2B_MSIL2A_20200326T104639_N0214_R051_T31UES_20200326T141923.npy,STA-BENAT40/l3_mean_europe_2018_2020_005dg.netcdf
73,STA_ES0629A,12.969149826617244,STA_ES0629A/S2A_MSIL2A_20200801T105631_N0214_R094_T30STF_20200801T115206.npy,STA_ES0629A/l3_mean_europe_2018_2020_005dg.netcdf
74,STA-RO0152A,22.774141929175247,STA-RO0152A/S2B_MSIL2A_20200905T092029_N0214_R093_T34TFQ_20200905T113748.npy,STA-RO0152A/l3_mean_europe_2018_2020_005dg.netcdf
75,STA_ES1093A,6.174128482297324,STA_ES1093A/S2B_MSIL2A_20200711T103629_N0214_R008_T31TEE_20200711T140018.npy,STA_ES1093A/l3_mean_europe_2018_2020_005dg.netcdf
